"","Dataset","Method","Algorithm","F1","Acc"
"154",188,"missForest","xgb",0.836363636363636,0.817567567567568
"16",188,"mice","xgb",0.81437125748503,0.790540540540541
"174",188,"VIM","xgb",0.898203592814371,0.885135135135135
"182",23381,"median","xgb",0.714285714285714,0.6
"194",23381,"missmda","xgb",0.605504587155963,0.57
"20",23381,"missForest","xgb",0.282051282051282,0.44
"214",23381,"mice","xgb",0.52,0.52
"222",23381,"VIM","xgb",0.736842105263158,0.65
"234",27,"median","xgb",0.622222222222222,0.77027027027027
"24",27,"softimpute","xgb",0.608695652173913,0.756756756756757
"254",27,"missmda","xgb",0.772727272727273,0.864864864864865
"262",27,"missForest","xgb",0.653061224489796,0.77027027027027
"274",27,"mice","xgb",0.790697674418605,0.878378378378378
"28",29,"median","xgb",0.87741935483871,0.86231884057971
"294",29,"softimpute","xgb",0.868965517241379,0.86231884057971
"301",29,"missmda","xgb",0.845637583892617,0.833333333333333
"311",29,"missForest","xgb",0.858974358974359,0.840579710144927
"32",29,"mice","xgb",0.863013698630137,0.855072463768116
"331",29,"VIM","xgb",0.838709677419355,0.818840579710145
"341",38,"median","xgb",0.98805340829234,0.977483443708609
"351",38,"softimpute","xgb",0.986534372785259,0.974834437086093
"36",38,"missForest","xgb",0.987934705464869,0.977483443708609
"371",38,"mice","xgb",0.988036593947924,0.977483443708609
"381",38,"VIM","xgb",0.985875706214689,0.973509933774834
"391",4,"median","xgb",0.5,0.833333333333333
"40",4,"softimpute","xgb",0.5,0.5
"411",4,"missForest","xgb",0,0.75
"421",4,"mice","xgb",0.4,0.75
"431",40536,"median","xgb",1,1
"44",40536,"softimpute","xgb",1,1
"451",40536,"missmda","xgb",1,1
"461",40536,"missForest","xgb",1,1
"471",40536,"mice","xgb",1,1
"48",40536,"VIM","xgb",1,1
"491",41278,"median","xgb",0.88641643232669,0.797647571335221
"501",41278,"softimpute","xgb",0.885935085007728,0.799063384883468
"511",41278,"missmda","xgb",0.863993761777893,0.772054018732302
"52",41278,"missForest","xgb",0.887016608073706,0.796994118928338
"531",41278,"mice","xgb",0.887682926829268,0.799390111086909
"541",41278,"VIM","xgb",0.888346850417708,0.800588107166195
"551",55,"median","xgb",0.25,0.806451612903226
"561",55,"softimpute","xgb",0.5,0.870967741935484
"571",55,"missmda","xgb",0.5,0.806451612903226
